id,CODCIE10,DescripcionCIE10,Grupo
9754,T533,EFECTO TOXICO DE LOS DERIVADOS HALOGENADOS DE LOS HIDROCARBUROS ALIFATICOS Y AROMATICOS: TETRACLOROETILENO,"Traumatismos, envenenamientos"
9755,T534,EFECTO TOXICO DE LOS DERIVADOS HALOGENADOS DE LOS HIDROCARBUROS ALIFATICOS Y AROMATICOS: DICLOROETANO,"Traumatismos, envenenamientos"
9756,T535,EFECTO TOXICO DE LOS DERIVADOS HALOGENADOS DE LOS HIDROCARBUROS ALIFATICOS Y AROMATICOS: CLOROFLUORCARBUROS,"Traumatismos, envenenamientos"
9757,T536,EFECTO TOXICO DE LOS DERIVADOS HALOGENADOS DE LOS HIDROCARBUROS ALIFATICOS Y AROMATICOS: OTROS DERIVADOS HALOGENADOS DE LOS HIDROCARBUROS ALIFATICOS,"Traumatismos, envenenamientos"
9758,T537,EFECTO TOXICO DE LOS DERIVADOS HALOGENADOS DE LOS HIDROCARBUROS ALIFATICOS Y AROMATICOS: OTROS DERIVADOS HALOGENADOS DE LOS HIDROCARBUROS AROMATICOS,"Traumatismos, envenenamientos"
9759,T539,"EFECTO TOXICO DE LOS DERIVADOS HALOGENADOS DE LOS HIDROCARBUROS ALIFATICOS Y AROMATICOS: DERIVADOS HALOGENADOS DE HIDROCARBUROS ALIFATICOS Y AROMATICOS, NO ESPECIFICADOS","Traumatismos, envenenamientos"
9760,T54,EFECTO TOXICO DE SUSTANCIAS CORROSIVAS,"Traumatismos, envenenamientos"
9761,T540,EFECTO TOXICO DE SUSTANCIAS CORROSIVAS: FENOL Y HOMOLOGOS DEL FENOL,"Traumatismos, envenenamientos"
9762,T541,EFECTO TOXICO DE SUSTANCIAS CORROSIVAS: OTROS COMPUESTOS ORGANICOS CORROSIVOS,"Traumatismos, envenenamientos"
9763,T542,EFECTO TOXICO DE SUSTANCIAS CORROSIVAS: ACIDOS CORROSIVOS Y SUSTANCIAS ACIDAS SIMILARES,"Traumatismos, envenenamientos"
9764,T543,EFECTO TOXICO DE SUSTANCIAS CORROSIVAS: ALCALIS CAUSTICOS Y SUSTANCIAS ALCALINAS SIMILARES,"Traumatismos, envenenamientos"
9765,T549,"EFECTO TOXICO DE SUSTANCIAS CORROSIVAS: EFECTO TOXICO DE SUSTANCIA CORROSIVA, NO ESPECIFICADA","Traumatismos, envenenamientos"
9766,T55,EFECTO TOXICO DE DETERGENTES Y JABONES,"Traumatismos, envenenamientos"
9767,T55,EFECTO TOXICO DE DETERGENTES Y JABONES,"Traumatismos, envenenamientos"
9768,T56,EFECTO TOXICO DE METALES,"Traumatismos, envenenamientos"
9769,T560,EFECTO TOXICO DE METALES: PLOMO Y SUS COMPUESTOS,"Traumatismos, envenenamientos"
9770,T561,EFECTO TOXICO DE METALES: MERCURIO Y SUS COMPUESTOS,"Traumatismos, envenenamientos"
9771,T562,EFECTO TOXICO DE METALES: CROMO Y SUS COMPUESTOS,"Traumatismos, envenenamientos"
9772,T563,EFECTO TOXICO DE METALES: CADMIO Y SUS COMPUESTOS,"Traumatismos, envenenamientos"
9773,T564,EFECTO TOXICO DE METALES: COBRE Y SUS COMPUESTOS,"Traumatismos, envenenamientos"
9774,T565,EFECTO TOXICO DE METALES: ZINC Y SUS COMPUESTOS,"Traumatismos, envenenamientos"
9775,T566,EFECTO TOXICO DE METALES: ESTAÑO Y SUS COMPUESTOS,"Traumatismos, envenenamientos"
9776,T567,EFECTO TOXICO DE METALES: BERILIO Y SUS COMPUESTOS,"Traumatismos, envenenamientos"
9777,T568,EFECTO TOXICO DE METALES: OTROS METALES,"Traumatismos, envenenamientos"
9778,T569,"EFECTO TOXICO DE METALES: METAL, NO ESPECIFICADO","Traumatismos, envenenamientos"
9779,T57,EFECTO TOXICO DE OTRAS SUSTANCIAS INORGANICAS,"Traumatismos, envenenamientos"
9780,T570,EFECTO TOXICO DE OTRAS SUSTANCIAS INORGANICAS: ARSENICO Y SUS COMPUESTOS,"Traumatismos, envenenamientos"
9781,T571,EFECTO TOXICO DE OTRAS SUSTANCIAS INORGANICAS: FOSFORO Y SUS COMPUESTOS,"Traumatismos, envenenamientos"
9782,T572,EFECTO TOXICO DE OTRAS SUSTANCIAS INORGANICAS: MANGANESO Y SUS COMPUESTOS,"Traumatismos, envenenamientos"
9783,T573,EFECTO TOXICO DE OTRAS SUSTANCIAS INORGANICAS: ACIDO CIANHIDRICO,"Traumatismos, envenenamientos"
9784,T578,"EFECTO TOXICO DE OTRAS SUSTANCIAS INORGANICAS: OTRAS SUSTANCIAS INORGANICAS, ESPECIFICADAS","Traumatismos, envenenamientos"
9785,T579,"EFECTO TOXICO DE OTRAS SUSTANCIAS INORGANICAS: SUSTANCIA INORGANICAS, NO ESPECIFICADA","Traumatismos, envenenamientos"
9786,T58,EFECTO TOXICO DEL MONOXIDO DE CARBONO,"Traumatismos, envenenamientos"
9787,T58,EFECTO TOXICO DEL MONOXIDO DE CARBONO,"Traumatismos, envenenamientos"
9788,T59,"EFECTO TOXICO DE OTROS GASES, HUMOS Y VAPORES","Traumatismos, envenenamientos"
9789,T590,"EFECTO TOXICO DE GASES, HUMOS Y VAPORES: OXIDOS DE NITROGENO","Traumatismos, envenenamientos"
9790,T591,"EFECTO TOXICO DE GASES, HUMOS Y VAPORES: DIOXIDO DE SULFURO","Traumatismos, envenenamientos"
9791,T592,"EFECTO TOXICO DE GASES, HUMOS Y VAPORES: FORMALDEHIDO","Traumatismos, envenenamientos"
9792,T593,"EFECTO TOXICO DE GASES, HUMOS Y VAPORES: GAS LACRIMOGENO","Traumatismos, envenenamientos"
9793,T594,"EFECTO TOXICO DE GASES, HUMOS Y VAPORES: CLORO GASEOSO","Traumatismos, envenenamientos"
9794,T595,"EFECTO TOXICO DE GASES, HUMOS Y VAPORES: GAS DE FLUOR Y FLUORURO DE HIDROGENO","Traumatismos, envenenamientos"
9795,T596,"EFECTO TOXICO DE GASES, HUMOS Y VAPORES: SULFURO DE HIDROGENO","Traumatismos, envenenamientos"
9796,T597,"EFECTO TOXICO DE GASES, HUMOS Y VAPORES: DIOXIDO DE CARBONO","Traumatismos, envenenamientos"
9797,T598,"EFECTO TOXICO DE GASES, HUMOS Y VAPORES: OTROS GASES, HUMOS Y VAPORES ESPECIFICADOS","Traumatismos, envenenamientos"
9798,T599,"EFECTO TOXICO DE GASES, HUMOS Y VAPORES: GASES, HUMOS Y VAPORES NO ESPECIFICADOS","Traumatismos, envenenamientos"
9799,T60,EFECTO TOXICO DE PLAGUICIDAS [PESTICIDAS],"Traumatismos, envenenamientos"
9800,T600,EFECTO TOXICO DE PLAGUICIDAS [PESTICIDAS]: INSECTICIDAS FOSFORADOS Y CARBAMATOS,"Traumatismos, envenenamientos"
9801,T601,EFECTO TOXICO DE PLAGUICIDAS [PESTICIDAS]: INSECTICIDAS HALOGENADOS,"Traumatismos, envenenamientos"
9802,T602,EFECTO TOXICO DE PLAGUICIDAS [PESTICIDAS]: OTROS INSECTICIDAS,"Traumatismos, envenenamientos"
9803,T603,EFECTO TOXICO DE PLAGUICIDAS [PESTICIDAS]: HERBICIDAS Y FUNGICIDAS,"Traumatismos, envenenamientos"
9804,T604,EFECTO TOXICO DE PLAGUICIDAS [PESTICIDAS]: RODENTICIDAS,"Traumatismos, envenenamientos"
9805,T608,EFECTO TOXICO DE PLAGUICIDAS [PESTICIDAS]: OTROS PLAGUICIDAS,"Traumatismos, envenenamientos"
9806,T609,EFECTO TOXICO DE PLAGUICIDAS [PESTICIDAS]: PLAGUICIDA NO ESPECIFICADO,"Traumatismos, envenenamientos"
9807,T61,EFECTO TOXICO DE SUSTANCIAS NOCIVAS INGERIDAS COMO ALIMENTOS MARINOS,"Traumatismos, envenenamientos"
9808,T610,EFECTO TOXICO DE SUSTANCIAS NOCIVAS INGERIDAS COMO ALIMENTOS MARINOS: ENVENENAMIENTO CIGUATERO POR PESCADO,"Traumatismos, envenenamientos"
9809,T611,EFECTO TOXICO DE SUSTANCIAS NOCIVAS INGERIDAS COMO ALIMENTOS MARINOS: ENVENENAMIENTO ESCOMBROIDEO POR PESCADO,"Traumatismos, envenenamientos"
9810,T612,EFECTO TOXICO DE SUSTANCIAS NOCIVAS INGERIDAS COMO ALIMENTOS MARINOS: OTROS ENVENENAMIENTOS POR PESCADO Y MARISCOS,"Traumatismos, envenenamientos"
9811,T618,EFECTO TOXICO DE SUSTANCIAS NOCIVAS INGERIDAS COMO ALIMENTOS MARINOS: EFECTO TOXICO DE OTROS ALIMENTOS MARINOS,"Traumatismos, envenenamientos"
9812,T619,EFECTO TOXICO DE SUSTANCIAS NOCIVAS INGERIDAS COMO ALIMENTOS MARINOS: EFECTO TOXICO DE ALIMENTOS MARINOS NO ESPECIFICADOS,"Traumatismos, envenenamientos"
9813,T62,EFECTO TOXICO DE OTRAS SUSTANCIAS NOCIVAS INGERIDAS COMO ALIMENTO,"Traumatismos, envenenamientos"
9814,T620,EFECTO TOXICO DE OTRAS SUSTANCIAS NOCIVAS INGERIDAS COMO ALIMENTO: HONGOS INGERIDOS,"Traumatismos, envenenamientos"
9815,T621,EFECTO TOXICO DE OTRAS SUSTANCIAS NOCIVAS INGERIDAS COMO ALIMENTO: BAYAS INGERIDAS,"Traumatismos, envenenamientos"
9816,T622,EFECTO TOXICO DE OTRAS SUSTANCIAS NOCIVAS INGERIDAS COMO ALIMENTO: OTRA(S) (PARTES DE) PLANTA(S) INGERIDA(S),"Traumatismos, envenenamientos"
9817,T628,EFECTO TOXICO DE OTRAS SUSTANCIAS NOCIVAS INGERIDAS COMO ALIMENTO: OTRAS SUSTANCIAS NOCIVAS INGERIDAS COMO ALIMENTO,"Traumatismos, envenenamientos"
9818,T629,"EFECTO TOXICO DE OTRAS SUSTANCIAS NOCIVAS INGERIDAS COMO ALIMENTO: SUSTANCIA NOCIVA INGERIDA COMO ALIMENTO, NO ESPECIFICADA","Traumatismos, envenenamientos"
9819,T63,EFECTO TOXICO DEL CONTACTO CON ANIMALES VENENOSOS,"Traumatismos, envenenamientos"
9820,T630,EFECTO TOXICO DEL CONTACTO CON ANIMALES VENENOSOS: VENENO DE SERPIENTE,"Traumatismos, envenenamientos"
9821,T631,EFECTO TOXICO DEL CONTACTO CON ANIMALES VENENOSOS: VENENO DE OTROS REPTILES,"Traumatismos, envenenamientos"
9822,T632,EFECTO TOXICO DEL CONTACTO CON ANIMALES VENENOSOS: VENENO DE ESCORPION,"Traumatismos, envenenamientos"
9823,T633,EFECTO TOXICO DEL CONTACTO CON ANIMALES VENENOSOS: VENENO DE ARAÑAS,"Traumatismos, envenenamientos"
9824,T634,EFECTO TOXICO DEL CONTACTO CON ANIMALES VENENOSOS: VENENO DE OTROS ARTROPODOS,"Traumatismos, envenenamientos"
9825,T635,EFECTO TOXICO DEL CONTACTO CON ANIMALES VENENOSOS: EFECTO TOXICO DEL CONTACTO CON PECES,"Traumatismos, envenenamientos"
9826,T636,EFECTO TOXICO DEL CONTACTO CON ANIMALES VENENOSOS: EFECTO TOXICO DEL CONTACTO CON OTROS ANIMALES MARINOS,"Traumatismos, envenenamientos"
9827,T638,EFECTO TOXICO DEL CONTACTO CON ANIMALES VENENOSOS: EFECTO TOXICO DEL CONTACTO CON OTROS ANIMALES VENENOSOS,"Traumatismos, envenenamientos"
9828,T639,EFECTO TOXICO DEL CONTACTO CON ANIMALES VENENOSOS: EFECTO TOXICO DEL CONTACTO CON ANIMAL VENENOSO NO ESPECIFICADO,"Traumatismos, envenenamientos"
9829,T64,EFECTO TOXICO DE AFLATOXINA Y OTRAS MICOTOXINAS CONTAMINANTES DE ALIMENTOS,"Traumatismos, envenenamientos"
9830,T64,EFECTO TOXICO DE AFLATOXINA Y OTRAS MICOTOXINAS CONTAMINANTES DE ALIMENTOS,"Traumatismos, envenenamientos"
9831,T65,EFECTO TOXICO DE OTRAS SUSTANCIAS Y LAS NO ESPECIFICADAS,"Traumatismos, envenenamientos"
9832,T650,EFECTO TOXICO DE OTRAS SUSTANCIAS Y LAS NO ESPECIFICADAS: CIANURO,"Traumatismos, envenenamientos"
9833,T651,EFECTO TOXICO DE OTRAS SUSTANCIAS Y LAS NO ESPECIFICADAS: ESTRICNINA Y SUS SALES,"Traumatismos, envenenamientos"
9834,T652,EFECTO TOXICO DE OTRAS SUSTANCIAS Y LAS NO ESPECIFICADAS: TABACO Y NICOTINA,"Traumatismos, envenenamientos"
9835,T653,EFECTO TOXICO DE OTRAS SUSTANCIAS Y LAS NO ESPECIFICADAS: NITRODERIVADOS Y AMINODERIVADOS DEL BENCENO Y SUS HOMOLOGOS,"Traumatismos, envenenamientos"
9836,T654,EFECTO TOXICO DE OTRAS SUSTANCIAS Y LAS NO ESPECIFICADAS: BISULFURO DE CARBONO,"Traumatismos, envenenamientos"
9837,T655,EFECTO TOXICO DE OTRAS SUSTANCIAS Y LAS NO ESPECIFICADAS: NITROGLICERINA Y OTROS ACIDOS Y ESTERES NITRICOS,"Traumatismos, envenenamientos"
9838,T656,"EFECTO TOXICO DE OTRAS SUSTANCIAS Y LAS NO ESPECIFICADAS: PINTURAS Y COLORANTES, NO CLASIFICADOS EN OTRA PARTE","Traumatismos, envenenamientos"
9839,T658,EFECTO TOXICO DE OTRAS SUSTANCIAS Y LAS NO ESPECIFICADAS: EFECTOS TOXICOS DE OTRAS SUSTANCIAS ESPECIFICADAS,"Traumatismos, envenenamientos"
9840,T659,EFECTO TOXICO DE OTRAS SUSTANCIAS Y LAS NO ESPECIFICADAS: EFECTO TOXICO DE SUSTANCIA NO ESPECIFICADA,"Traumatismos, envenenamientos"
9841,T66,EFECTOS NO ESPECIFICADOS DE LA RADIACION,"Traumatismos, envenenamientos"
9842,T66,EFECTOS NO ESPECIFICADOS DE LA RADIACION,"Traumatismos, envenenamientos"
9843,T67,EFECTOS DEL CALOR Y DE LA LUZ,"Traumatismos, envenenamientos"
9844,T670,GOLPE DE CALOR E INSOLACION,"Traumatismos, envenenamientos"
9845,T671,SINCOPE DE CALOR,"Traumatismos, envenenamientos"
9846,T672,CALAMBRE POR CALOR,"Traumatismos, envenenamientos"
9847,T673,"AGOTAMIENTO POR CALOR, ANHIDROTICO","Traumatismos, envenenamientos"
9848,T674,AGOTAMIENTO POR CALOR DEBIDO A DEPLECION DE SAL,"Traumatismos, envenenamientos"
9849,T675,AGOTAMIENTO POR CALOR NO ESPECIFICADO,"Traumatismos, envenenamientos"
9850,T676,"FATIGA POR CALOR, TRANSITORIA","Traumatismos, envenenamientos"
9851,T677,EDEMA POR CALOR,"Traumatismos, envenenamientos"
9852,T678,OTROS EFECTOS DEL CALOR Y DE LA LUZ,"Traumatismos, envenenamientos"
9853,T679,"EFECTO DEL CALOR Y DE LA LUZ, NO ESPECIFICADO","Traumatismos, envenenamientos"
9854,T68,HIPOTERMIA,"Traumatismos, envenenamientos"
9855,T68,HIPOTERMIA,"Traumatismos, envenenamientos"
9856,T69,OTROS EFECTOS DE LA REDUCCION DE LA TEMPERATURA,"Traumatismos, envenenamientos"
9857,T690,MANO Y PIE DE INMERSION,"Traumatismos, envenenamientos"
9858,T691,SABAÑON(ES),"Traumatismos, envenenamientos"
9859,T698,OTROS EFECTOS ESPECIFICADOS DE LA REDUCCION DE LA TEMPERATURA,"Traumatismos, envenenamientos"
9860,T699,"EFECTO DE LA REDUCCION DE LA TEMPERATURA, NO ESPECIFICADO","Traumatismos, envenenamientos"
9861,T70,EFECTOS DE LA PRESION DEL AIRE Y DEL AGUA,"Traumatismos, envenenamientos"
9862,T700,BAROTRAUMA OTITICO,"Traumatismos, envenenamientos"
9863,T701,BAROTRAUMA SINUSAL,"Traumatismos, envenenamientos"
9864,T702,OTROS EFECTOS Y LOS NO ESPECIFICADOS DE LA GRAN ALTITUD,"Traumatismos, envenenamientos"
9865,T703,ENFERMEDAD POR DESCOMPRESION [DE LOS CAJONES SUMERGIDOS],"Traumatismos, envenenamientos"
9866,T704,EFECTOS DE LIQUIDOS CON ALTA PRESION,"Traumatismos, envenenamientos"
9867,T708,OTROS EFECTOS DE LA PRESION DEL AIRE Y DEL AGUA,"Traumatismos, envenenamientos"
9868,T709,"EFECTO DE LA PRESION DEL AIRE Y DEL AGUA, NO ESPECIFICADO","Traumatismos, envenenamientos"
9869,T71,ASFIXIA,"Traumatismos, envenenamientos"
9870,T71,ASFIXIA,"Traumatismos, envenenamientos"
9871,T73,EFECTOS DE OTRAS PRIVACIONES,"Traumatismos, envenenamientos"
9872,T730,EFECTOS DEL HAMBRE,"Traumatismos, envenenamientos"
9873,T731,EFECTOS DE LA SED,"Traumatismos, envenenamientos"
9874,T732,AGOTAMIENTO DEBIDO A EXPOSICION A LA INTEMPERIE,"Traumatismos, envenenamientos"
9875,T733,AGOTAMIENTO DEBIDO A ESFUERZO EXCESIVO,"Traumatismos, envenenamientos"
9876,T738,OTROS EFECTOS DE PRIVACION,"Traumatismos, envenenamientos"
9877,T739,"EFECTOS DE PRIVACION, NO ESPECIFICADOS","Traumatismos, envenenamientos"
9878,T74,SINDROMES DEL MALTRATO,"Traumatismos, envenenamientos"
9879,T740,NEGLIGENCIA O ABANDONO,"Traumatismos, envenenamientos"
9880,T741,ABUSO FISICO,"Traumatismos, envenenamientos"
9881,T742,ABUSO SEXUAL,"Traumatismos, envenenamientos"
9882,T743,ABUSO PSICOLOGICO,"Traumatismos, envenenamientos"
9883,T748,OTROS SINDROMES DE MALTRATO,"Traumatismos, envenenamientos"
9884,T749,"SINDROME DE MALTRATO, NO ESPECIFICADO","Traumatismos, envenenamientos"
9885,T75,EFECTOS DE OTRAS CAUSAS EXTERNAS,"Traumatismos, envenenamientos"
9886,T750,EFECTOS DEL RAYO,"Traumatismos, envenenamientos"
9887,T751,AHOGAMIENTO Y SUMERSION NO MORTAL,"Traumatismos, envenenamientos"
9888,T752,EFECTOS DE LA VIBRACION,"Traumatismos, envenenamientos"
9889,T753,MAL DEL MOVIMIENTO,"Traumatismos, envenenamientos"
9890,T754,EFECTOS DE LA CORRIENTE ELECTRICA,"Traumatismos, envenenamientos"
9891,T758,OTROS EFECTOS ESPECIFICADOS DE CAUSAS EXTERNAS,"Traumatismos, envenenamientos"
9892,T78,EFECTOS ADVERSOS NO CLASIFICADOS EN OTRA PARTE,"Traumatismos, envenenamientos"
9893,T780,CHOQUE ANAFILACTICO DEBIDO A REACCION ADVERSA A ALIMENTOS,"Traumatismos, envenenamientos"
9894,T781,"OTRA REACCION ADVERSA A ALIMENTOS, NO CLASIFICADA EN OTRA PARTE","Traumatismos, envenenamientos"
9895,T782,"CHOQUE ANAFILACTICO, NO ESPECIFICADO","Traumatismos, envenenamientos"
9896,T783,EDEMA ANGIONEUROTICO,"Traumatismos, envenenamientos"
9897,T784,ALERGIA NO ESPECIFICADA,"Traumatismos, envenenamientos"
9898,T788,"OTROS EFECTOS ADVERSOS, NO CLASIFICADOS EN OTRA PARTE","Traumatismos, envenenamientos"
9899,T789,EFECTOS ADVERSOS NO ESPECIFICADO,"Traumatismos, envenenamientos"
9900,T79,ALGUNAS COMPLICACIONES PRECOCES DE TRAUMATISMOS NO CLASIFICADAS EN OTRA PARTE,"Traumatismos, envenenamientos"
9901,T790,EMBOLIA GASEOSA (TRAUMATICA),"Traumatismos, envenenamientos"
9902,T791,EMBOLIA GRASA (TRAUMATICA),"Traumatismos, envenenamientos"
9903,T792,HEMORRAGIA TRAUMATICA SECUNDARIA Y RECURRENTE,"Traumatismos, envenenamientos"
9904,T793,"INFECCION POSTRAUMATICA DE HERIDA, NO CLASIFICADA EN OTRA PARTE","Traumatismos, envenenamientos"
9905,T794,CHOQUE TRAUMATICO,"Traumatismos, envenenamientos"
9906,T795,ANURIA TRAUMATICA,"Traumatismos, envenenamientos"
9907,T796,ISQUEMIA TRAUMATICA DEL MUSCULO,"Traumatismos, envenenamientos"
9908,T797,ENFISEMA SUBCUTANEO TRAUMATICO,"Traumatismos, envenenamientos"
9909,T798,OTRAS COMPLICACIONES PRECOCES DE LOS TRAUMATISMOS,"Traumatismos, envenenamientos"
9910,T799,COMPLICACIONES PRECOCES NO ESPECIFICADAS DE LOS TRAUMATISMOS,"Traumatismos, envenenamientos"
9911,T80,"COMPLICACIONES CONSECUTIVAS A INFUSION, TRANSFUS E INYECCION TERAPEUTICA","Traumatismos, envenenamientos"
9912,T800,"EMBOLIA GASEOSA CONSECUTIVAS A INFUSION, TRANSFUSION E INYECCION TERAPEUTICA","Traumatismos, envenenamientos"
9913,T801,"COMPLICACIONES VASCULARES CONSECUTIVAS A INFUSION, TRANSFUSION E INYECCION TERAPEUTICA","Traumatismos, envenenamientos"
9914,T802,"INFECCIONES CONSECUTIVAS A INFUSION, TRANSFUSION E INYECCION TERAPEUTICA","Traumatismos, envenenamientos"
9915,T803,REACCION DE INCOMPATIBILIDAD AL GRUPO ABO,"Traumatismos, envenenamientos"
9916,T804,REACCION DE INCOMPATIBILIDAD A Rh,"Traumatismos, envenenamientos"
9917,T805,CHOQUE ANAFILACTICO DEBIDO A SUERO,"Traumatismos, envenenamientos"
9918,T806,OTRAS REACCIONES AL SUERO,"Traumatismos, envenenamientos"
9919,T808,"OTRAS COMPLICACIONES CONSECUTIVAS A INFUSION, TRANSFUSION E INYECCION TERAPEUTICA","Traumatismos, envenenamientos"
9920,T809,"COMPLICACIONES NO ESPECIFICADAS CONSECUTIVAS A INFUSION, TRANSFUSION E INYECCION TERAPEUTICA","Traumatismos, envenenamientos"
9921,T81,COMPLICACIONES DE PROCEDIMIENTOS NO CLASIFICADAS EN OTRA PARTE,"Traumatismos, envenenamientos"
9922,T810,"HEMORRAGIA Y HEMATOMA QUE COMPLICAN UN PROCEDIMIENTO, NO CLASIFICADOS EN OTRA PARTE","Traumatismos, envenenamientos"
9923,T811,"CHOQUE DURANTE O RESULTANTE DE UN PROCEDIMIENTO, NO CLASIFICADO EN OTRA PARTE","Traumatismos, envenenamientos"
9924,T812,"PUNCION O LACERACION ACCIDENTAL DURANTE UN PROCEDIMIENTO, NO CLASIFICADAS EN OTRA PARTE","Traumatismos, envenenamientos"
9925,T813,"DESGARRO DE HERIDA OPERATORIA, NO CLASIFICADO EN OTRA PARTE","Traumatismos, envenenamientos"
9926,T814,"INFECCION CONSECUTIVA A PROCEDIMIENTO, NO CLASIFICADA EN OTRA PARTE","Traumatismos, envenenamientos"
9927,T815,CUERPO EXTRAÑO DEJADO ACCIDENTALMENTE EN CAVIDAD CORPORAL O EN HERIDA OPERATORIA CONSECUTIVA A PROCEDIMIENTO,"Traumatismos, envenenamientos"
9928,T816,REACCIÓN AGUDA A SUSTANCIA EXTRAÑA DEJADA ACCIDENTALMENTE DURANTE UN PROCEDIMIENTO,"Traumatismos, envenenamientos"
9929,T817,"COMPLICACIONES VASCULARES CONSECUTIVAS A PROCEDIMIENTOS, NO CLASIFICADAS EN OTRA PARTE","Traumatismos, envenenamientos"
9930,T818,"OTRAS COMPLICACIONES DE PROCEDIMIENTOS, NO CLASIFICADAS EN OTRA PARTE","Traumatismos, envenenamientos"
9931,T819,"COMPLICACIONES DE PROCEDIMIENTOS, NO ESPECIFICADA","Traumatismos, envenenamientos"
9932,T82,"COMPLICACIONES DE DISPOSITIVOS PROTESICOS, IMPLANTES E INJERTOS CARDIOVASCULARES","Traumatismos, envenenamientos"
9933,T820,COMPLICACION MECANICA DE PROTESIS DE VALVULA CARDIACA,"Traumatismos, envenenamientos"
9934,T821,COMPLICACION MECANICA DE DISPOSITIVO ELECTRONICO CARDIACO,"Traumatismos, envenenamientos"
9935,T822,COMPLICACION MECANICA DE DERIVACION DE ARTERIA CORONARIA E INJERTO VASCULAR,"Traumatismos, envenenamientos"
9936,T823,COMPLICACION MECANICA DE OTROS INJERTOS VASCULARES,"Traumatismos, envenenamientos"
9937,T824,COMPLICACION MECANICA DE CATETER PARA DIALISIS VASCULAR,"Traumatismos, envenenamientos"
9938,T825,COMPLICACION MECANICA DE OTROS DISPOSITIVOS E IMPLANTES CARDIOVASCULARES,"Traumatismos, envenenamientos"
9939,T826,INFECCION Y REACCION INFLAMATORIA DEBIDAS A PROTESIS DE VALVULA CARDIACA,"Traumatismos, envenenamientos"
9940,T827,"INFECCION Y REACCION INFLAMATORIA DEBIDAS A OTROS DISPOSITIVOS, IMPLANTES E INJERTOS CARDIOVASCULARES","Traumatismos, envenenamientos"
9941,T828,"OTRAS COMPLICACIONES DE DISPOSITIVOS PROTESICOS, IMPLANTES E INJERTOS CARDIOVASCULARES","Traumatismos, envenenamientos"
9942,T829,"COMPLICACION NO ESPECIFICADA DE DISPOSITIVO PROTESICO, IMPLANTE E INJERTO CARDIOVASCULAR","Traumatismos, envenenamientos"
9943,T83,"COMPLICACIONES DE DISPOSITIVOS, IMPLANTES E INJERTOS GENITOURINARIOS","Traumatismos, envenenamientos"
9944,T830,COMPLICACION MECANICA DE CATETER URINARIO (FIJO),"Traumatismos, envenenamientos"
9945,T831,COMPLICACION MECANICA DE OTROS DISPOSITIVOS E IMPLANTES URINARIOS,"Traumatismos, envenenamientos"
9946,T832,COMPLICACION MECANICA DE INJERTO EN ORGANO URINARIO,"Traumatismos, envenenamientos"
9947,T833,COMPLICACION MECANICA DE DISPOSITIVO ANTICONCEPTIVO INTRAUTERINO,"Traumatismos, envenenamientos"
9948,T834,"COMPLICACION MECANICA DE OTROS DISPOSITIVOS, IMPLANTES E INJERTOS EN EL TRACTO GENITAL","Traumatismos, envenenamientos"
9949,T835,"INFECCION Y REACCION INFLAMATORIA DEBIDAS A DISPOSITIVO PROTESICO, IMPLANTE E INJERTO EN EL SISTEMA URINARIO","Traumatismos, envenenamientos"
9950,T836,"INFECCION Y REACCION INFLAMATORIA DEBIDAS A DISPOSITIVO PROTESICO, IMPLANTE E INJERTO EN EL TRACTO GENITAL","Traumatismos, envenenamientos"
9951,T838,"OTRAS COMPLICACIONES DE DISPOSITIVOS PROTESICOS, IMPLANTES E INJERTOS GENITOURINARIOS:","Traumatismos, envenenamientos"
9952,T839,"COMPLICACION NO ESPECIFICADA DE DISPOSITIVO PROTESICO, IMPLANTE E INJERTO GENITOURINARIO","Traumatismos, envenenamientos"
9953,T84,"COMPLICACIONES DE DISPOSITIVOS PROTESICOS, IMPLANTES E INJERTOS ORTOPEDICOS INTERNOS","Traumatismos, envenenamientos"
9954,T840,COMPLICACION MECANICA DE PROTESIS ARTICULAR INTERNA,"Traumatismos, envenenamientos"
9955,T841,COMPLICACION MECANICA DE DISPOSITIVO DE FIJACION INTERNA DE HUESOS DE UN MIEMBRO,"Traumatismos, envenenamientos"
9956,T842,COMPLICACION MECANICA DE DISPOSITIVO DE FIJACION INTERNA DE OTROS HUESOS,"Traumatismos, envenenamientos"
9957,T843,"COMPLICACION MECANICA DE OTROS DISPOSITIVOS OSEOS, IMPLANTES E INJERTOS","Traumatismos, envenenamientos"
9958,T844,"COMPLICACION MECANICA DE OTROS DISPOSITIVOS PROTESICOS, IMPLANTES E INJERTOS ORTOPEDICOS INTERNOS","Traumatismos, envenenamientos"
9959,T845,INFECCION Y REACCION INFLAMATORIA DEBIDAS A PROTESIS ARTICULAR INTERNA,"Traumatismos, envenenamientos"
9960,T846,INFECCION Y REACCION INFLAMATORIA DEBIDAS A DISPOSITIVO DE FIJACION INTERNA (CUALQUIER SITIO),"Traumatismos, envenenamientos"
9961,T847,"INFECCION Y REACCION INFLAMATORIA DEBIDAS A OTROS DISPOSITIVO DE FIJACION INTERNA (CUALQUIER SITIO) DISPOSITIVOS PROTESICOS, IMPLANTES E INJERTOS ORTOPEDICOS INTERNOS","Traumatismos, envenenamientos"
9962,T848,"OTRAS COMPLICACIONES DE DISPOSITIVOS PROTESICOS, IMPLANTES E INJERTOS ORTOPEDICOS INTERNOS","Traumatismos, envenenamientos"
